Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Primordial Necrolisk Slime,bottle,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Very Rare),"Potions, Rods, Wands, Staffs, Rings, Wondrous Items",5000 GP,Throw,"??","??","Survival, Nature, Arcana, Alchemist Kit","??", "Maidenmist Cementery"
Primordial Necrolisk Claw,??,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Very Rare),??,??,??,??,??,"Survival, Nature","??", "Maidenmist Cementery"
Spirit Predator Weapon,-,-,-,-,-,-,-,-,-,-,-
Primordial Necrolisk Blood,??,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Very Rare),??,??,??,??,??,"Survival, Nature, Arcana, Alchemist Kit","??", "Maidenmist Cementery"
Primordial Necrolisk Extract,vial,-,Consumable (),-,-,-,"-",-,-,-,-
Primordial Necrolisk Tooth,??,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Legendary),??,??,??,??,??,"Survival, Nature, Religion, Arcana","??", "Maidenmist Cementery"
Primordial Necrolisk Spiritbane,-,-,Weapon (Legendary)(Requires Attunement),-,-,-,"The Primordial Necrolisk is the queen of Necrolisks, underground creatures that feeds on the essence of spirits, and this magical hunger is still present on its awe-inducing gigantic teeth. You used this powerful material to make a primordial necrotic dragon tooth weapon that is the bane of spirits. The weapon ignores any sort of resistance or immunity to Piercing, Slashing, or Bludgeoning damage caused by the enemy being incorporeal. Depending on what weapon you made, it makes that type of damage. In addition, it deals +2d10 Force damage on any hit, or +6d10 Force damage against incorporeal enemies. When you roll a 20 on a d20 to attack an incorporeal creature, it dies. Whenever you kill any creature with it you regain the damage you dealt on the killing attack to your Hit Points. The weapon has 5 charges. As a Magic action, you can expend one charge to call to the hunger of the weapon to pull spirits or otherwise incorporeal enemies that are in a 40 ft radius from you, when doing so, they immediately get pulled 10 ft toward you. As part of the same action, any incorporeal enemies that are within 20 ft of you must succeed on a DC 20 Strength Saving Throw or take 11d10 Force damage. You can also spend one charge to sense the presence of spirits or incorporeal creatures in a 1,000 ft radius. The weapon regains 1d6 charges when you take a Long Rest.",-,-,-,-
Primordial Necrolisk Skin,??,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Legendary),??,??,??,??,??,"Survival, Nature","??", "Maidenmist Cementery"
Primordial Necrolisk Scale Armor,-,-,Armor (Legendary)(Requires Attunement),-,-,-,"-",-,-,-,-
Primordial Necrolisk Vestigial Wing,bag,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Legendary),??,??,??,??,??,"Survival, Nature, Arcana","??", "Maidenmist Cementery"
Cloak of the Primordial Necrolisk,-,-,"Wondrous Item (Legendary)(Requires Attunement)",-,-,-,"-",-,-,-,-
Primordial Necrolisk Bone,bag,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Legendary),??,??,??,??,??,"Survival, Nature, Arcana","??", "Maidenmist Cementery"
Primordial Soul Eater,-,-,Weapon (Legendary)(Requires Attunement),-,-,-,"-",-,-,-,-
Primordial Necrolisk Heart,bottle,Primordial Necrolisk (Home-Brew Side Quest Boss Monster),Consumable (Legendary),??,??,??,??,??,"Survival, Nature","??", "Maidenmist Cementery"
??,??,Cockatrice,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Gorgon,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Minotaur of Baphomet,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Nightmare,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,The Galloping Headsman,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Giant Crab,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
??,??,Giant Toad,??,??,??,??,??,??,"Survival, Perception, Investigation","??", "Loc"
